text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,score
I'm here in swamp &amp; know how it works Reince Priebus as CoS sent clear signal everyone stays no #DrainTheSwamp. @SBfield30 @realDonaldTrump,FALSE,1,SBfield30,11/18/2016 1:48,FALSE,7.99424E+17,7.99429E+17,3014823045,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NetworksManager,1,FALSE,FALSE,NA,NA,1
RT @politico: President Obama to @realDonaldTrump protesters: Don't be silent https://t.co/D1T5yI5zuq | Getty https://t.co/C4X997Ajci,FALSE,0,NA,11/18/2016 1:47,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",disgusted1955,205,TRUE,FALSE,NA,NA,1
RT @LifeZette: These are the biggest celebrity meltdowns as a result of @realDonaldTrump's win https://t.co/tideW0tL1v,FALSE,0,NA,11/18/2016 1:47,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WvuTrophy,394,TRUE,FALSE,NA,NA,1
"RT @KailiJoy: Let's remind @realDonaldTrump of this every single day for the next four years, yeah? https://t.co/JQ8WNImrvm",FALSE,0,NA,11/18/2016 1:47,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",StanHalbert,172,TRUE,FALSE,NA,NA,0
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:46,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",moirabubaleh,14,TRUE,FALSE,NA,NA,0
RT @mitchellreports: .@newt says he won't be in cabinet as @realDonaldTrump looks beyond @MayorRGiuliani to @MittRomney as possible @SecSta…,FALSE,0,NA,11/18/2016 1:46,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shermfrederick,5,TRUE,FALSE,NA,NA,0
RT @politico: Why @realDonaldTrump needs to take a salary https://t.co/cz7MDdzxdB via @POLITICOMag | AP Photo https://t.co/92vo1ZigzT,FALSE,0,NA,11/18/2016 1:46,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Life_Love_Livin,24,TRUE,FALSE,NA,NA,0
RT @mitchellreports: .@newt says he won't be in cabinet as @realDonaldTrump looks beyond @MayorRGiuliani to @MittRomney as possible @SecSta…,FALSE,0,NA,11/18/2016 1:46,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JennFolliard,5,TRUE,FALSE,NA,NA,0
RT @andrewg4us: @realDonaldTrump sorry but no. You will be #GOP nominee but not POTUS,FALSE,0,NA,11/18/2016 1:46,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",straightwytmale,11,TRUE,FALSE,NA,NA,-4
@puppymnkey @VaknightsK @realDonaldTrump Trump underestimates the resistance facing him. We are up for this fight.,FALSE,0,puppymnkey,11/18/2016 1:45,FALSE,7.99428E+17,7.99428E+17,4917092018,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",fotoeffex,0,FALSE,FALSE,NA,NA,0
