"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@bullcook11 @realDonaldTrump what did she say?",FALSE,0,"bullcook11",2016-11-18 01:52:29,FALSE,"799428411836010496","799430043256487936","1920847470","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DonaldT4Prez",0,FALSE,FALSE,NA,NA
"RT @DonaldT4Prez: If @realDonaldTrump wants to know how his most loyal supporters would react to a Secretary of State Mitt Romney, just loo…",FALSE,0,NA,2016-11-18 01:52:21,FALSE,NA,"799430008582373377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EWeixel",1,TRUE,FALSE,NA,NA
"@greengoddess892 @realDonaldTrump lol",FALSE,0,"greengoddess892",2016-11-18 01:52:15,FALSE,"799428305543974922","799429984527925248","438862536","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DonaldT4Prez",0,FALSE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney is now BEGGING @realDonaldTrump for a job in his administration after calling Trump a racist for a year and a…",FALSE,0,NA,2016-11-18 01:51:51,FALSE,NA,"799429883919269889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mina001",47,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney is now BEGGING @realDonaldTrump for a job in his administration after calling Trump a racist for a year and a…",FALSE,0,NA,2016-11-18 01:51:17,FALSE,NA,"799429740855783424",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","roxyloveslucy",47,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: The only person who actually knows who @realDonaldTrump will appoint is Donald Trump. So shut the hell up media

Mitt Rom…",FALSE,0,NA,2016-11-18 01:50:47,FALSE,NA,"799429614825312256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mrknd64AZ",23,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney is now BEGGING @realDonaldTrump for a job in his administration after calling Trump a racist for a year and a…",FALSE,0,NA,2016-11-18 01:50:23,FALSE,NA,"799429512857526272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SunbonSmart",47,TRUE,FALSE,NA,NA
"@realDonaldTrump release your tax returns and reveal your true business dealings. as our next president you owe Americans that much.",FALSE,0,"realDonaldTrump",2016-11-18 01:49:16,FALSE,NA,"799429232321404929","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AnandSampat",0,FALSE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney is now BEGGING @realDonaldTrump for a job in his administration after calling Trump a racist for a year and a…",FALSE,0,NA,2016-11-18 01:48:56,FALSE,NA,"799429149710381056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LUSKER29",47,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney is now BEGGING @realDonaldTrump for a job in his administration after calling Trump a racist for a year and a…",FALSE,0,NA,2016-11-18 01:48:34,FALSE,NA,"799429055967883264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tbs40",47,TRUE,FALSE,NA,NA
"@Creejz @realDonaldTrump does for the wall",FALSE,0,"Creejz",2016-11-18 01:47:00,FALSE,"799129048865705984","799428661434687488","1898619872","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenpaiScam",0,FALSE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney is now BEGGING @realDonaldTrump for a job in his administration after calling Trump a racist for a year and a…",FALSE,0,NA,2016-11-18 01:46:51,FALSE,NA,"799428624533188608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cosey_yvonne",47,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: The only person who actually knows who @realDonaldTrump will appoint is Donald Trump. So shut the hell up media

Mitt Rom…",FALSE,0,NA,2016-11-18 01:46:33,FALSE,NA,"799428549685944320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ginlefebvre",23,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: @realDonaldTrump this Mitt Romney story is nothing but another media hoax. Don't even give it life people!",FALSE,0,NA,2016-11-18 01:45:01,FALSE,NA,"799428162908258304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bullcook11",2,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney did everything he possibly could to bring down @realDonaldTrump in the primaries. Shouldn't be considered for…",FALSE,0,NA,2016-11-18 01:44:30,FALSE,NA,"799428034096926720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kpetrey41",15,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney is now BEGGING @realDonaldTrump for a job in his administration after calling Trump a racist for a year and a…",FALSE,0,NA,2016-11-18 01:44:12,FALSE,NA,"799427959102636033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nebunsie",47,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: Mitt Romney is now BEGGING @realDonaldTrump for a job in his administration after calling Trump a racist for a year and a…",FALSE,0,NA,2016-11-18 01:43:43,FALSE,NA,"799427836335403008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OldSalz",47,TRUE,FALSE,NA,NA
"RT @Luke1732Mullen: @Daniel_Scott @ScottAdamsSays interesting @HarvardHBS article on @realDonaldTrump base https://t.co/h61GojrYa8",FALSE,0,NA,2016-11-18 01:41:07,FALSE,NA,"799427180719702016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","muchmoresalt",54,TRUE,FALSE,NA,NA
"RT @nfergus: A reminder of @realDonaldTrump's very important August 15 speech against radical Islam and his commitment to support ""Muslim r…",FALSE,0,NA,2016-11-18 01:41:05,FALSE,NA,"799427173752983552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aham1857",126,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: The only person who actually knows who @realDonaldTrump will appoint is Donald Trump. So shut the hell up media

Mitt Rom…",FALSE,0,NA,2016-11-18 01:38:52,FALSE,NA,"799426615340105728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BLUIZK81",23,TRUE,FALSE,NA,NA
"RT @DonaldT4Prez: I have confidence in @realDonaldTrump - he knows, if the media is praising a candidate, that candidate is NOT right for t…",FALSE,0,NA,2016-11-18 01:38:48,FALSE,NA,"799426598470500353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angel_star39",1,TRUE,FALSE,NA,NA
