tweet,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,address,city,zipcode,state,score,Country
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",FALSE,0,realDonaldTrump,11/18/2016 17:52,FALSE,8.00E+17,8.00E+17,25073877,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tmmaddox2_m,0,FALSE,FALSE,-118.8605695,36.1312581,18790-18998 Campbell Creek Dr Springville CA 93265, Springville,93265,CA,2,US
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",FALSE,0,realDonaldTrump,11/18/2016 17:52,FALSE,8.00E+17,8.00E+17,25073877,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tmmaddox2_m,0,FALSE,FALSE,-118.8605695,36.1312581,18790-18998 Campbell Creek Dr Springville CA 93265, Springville,93265,CA,2,US
@realDonaldTrump what happened to your tweet about your hard work to not close down the plant? I want to laugh again! #PANTSONFIRE,FALSE,1,realDonaldTrump,11/18/2016 10:26,FALSE,NA,8.00E+17,25073877,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",SHAUNALUVSDDNT,1,FALSE,FALSE,-80.66751435,28.12634123,1196 Holland St Melbourne FL 32935, Melbourne,32935,FL,-3,US
LAWD<U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F> @realdonaldtrump got everybody going crazy <ed><U+00A0><U+00BD><ed><U+00B8><U+009C> Who's Granny is this <U+2753><U+203C><U+FE0F>#younameit… https://t.co/cbQ96pBJCH,FALSE,3,NA,11/18/2016 15:09,FALSE,NA,8.00E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",rudyrush,0,FALSE,FALSE,-95.454844,29.7461476,2021 Westcreek Ln Houston TX 77027, Houston,77027,TX,0,US
"@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!",FALSE,0,realDonaldTrump,11/18/2016 16:53,FALSE,NA,8.00E+17,25073877,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>",hakarune,0,FALSE,FALSE,-122.54,45.62,101 204 SE Park Plaza Dr Vancouver, 204 SE Park Plaza Dr,NA,Va,1,US
"Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP",FALSE,0,NA,11/18/2016 16:48,FALSE,NA,8.00E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheSimonRyan,0,FALSE,FALSE,-122.684906,45.520102,1221 SW Yamhill St Portland OR 97205, Portland,97205,OR,1,US
"For I AM , thus I ride 217 on 11-17 - do you understand ? @realdonaldtrump @cnbc @bbcafrica… https://t.co/YOA4Sv6LVx",FALSE,0,NA,11/17/2016 23:40,FALSE,NA,7.99E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",HARJGTHEONE,0,FALSE,FALSE,-123.1163307,49.20970359,8430 Cambie St Vancouver BC V6P 3J9, Vancouver,NA,BC,0,US
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",FALSE,0,realDonaldTrump,11/18/2016 17:52,FALSE,8.00E+17,8.00E+17,25073877,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tmmaddox2_m,0,FALSE,FALSE,-118.8605695,36.1312581,18790-18998 Campbell Creek Dr Springville CA 93265, Springville,93265,CA,2,US
How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.,FALSE,0,NA,11/18/2016 18:59,FALSE,NA,8.00E+17,NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",BillBarrowAP,1,FALSE,FALSE,-84.349563,33.76014,Moreland Avenue Southbound Ramp Atlanta GA 30307, Atlanta,30307,GA,0,US
Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.,FALSE,0,NA,11/18/2016 18:57,FALSE,NA,8.00E+17,NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",BillBarrowAP,2,FALSE,FALSE,-84.349563,33.76014,Moreland Avenue Southbound Ramp Atlanta GA 30307, Atlanta,30307,GA,1,US
"@HarveyLevinTMZ ""Why not shoot for the top to prove a concept? .asked 2 people #hillaryclinton &amp; @realDonaldTrump - she said no he said yes""",FALSE,0,HarveyLevinTMZ,11/18/2016 13:31,FALSE,NA,8.00E+17,36098990,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SURGDissection,0,FALSE,FALSE,-87.38864579,30.32483106,11600 Gulf Beach Hwy Pensacola FL 32507, Pensacola,32507,FL,0,US
"So, @realDonaldTrump is lying AGAIN!  Ford NEVER had plans to move Lincoln MKC prod to Mexico!",FALSE,0,NA,11/18/2016 3:24,FALSE,NA,7.99E+17,NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial© PRO</a>",VictoriaInPhx,0,FALSE,FALSE,-112.0524343,33.4806781,1350 E Thomas Rd Phoenix AZ 85014, Phoenix,85014,AZ,-1,US
@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.,FALSE,0,scotthaas27,11/18/2016 15:54,FALSE,7.99E+17,8.00E+17,105304569,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",KiMarsha49,0,FALSE,FALSE,-95.9673,35.6169,410 E 12th St Okmulgee OK 74447, Okmulgee,74447,OK,1,US
Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...,FALSE,0,NA,11/18/2016 15:49,FALSE,NA,8.00E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",JWooTV,0,FALSE,FALSE,-89.9904,34.9833,8425 Airways Blvd Southaven MS 38671, Southaven,38671,MS,-1,US
I got my @realdonaldtrump socks in today that I ordered for when I run stjude Memphis Marathon… https://t.co/uFpZarkAFg,FALSE,0,NA,11/18/2016 2:17,FALSE,NA,7.99E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",BlaineAdair,0,FALSE,FALSE,-87.6946,34.7597,362-564 E 2nd St Sheffield AL 35660, Sheffield,35660,AL,1,US
