"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:45,FALSE,NA,"799694600927490048",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","americansr4DT",42570,TRUE,FALSE,NA,NA
"RT @ericbolling: .@realDonaldTrump takes office with (R) House, (R) Senate and 62% (R) Governors.. It's a red country, what that means toni…",FALSE,0,NA,2016-11-18 19:23:44,FALSE,NA,"799694599824384000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cryogenik28",302,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:43,FALSE,NA,"799694593641975808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DBZDoll",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…",FALSE,0,NA,2016-11-18 19:23:42,FALSE,NA,"799694590433497088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stinkerbelle359",24202,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…",FALSE,0,NA,2016-11-18 19:23:41,FALSE,NA,"799694585983160320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","julibleu",24202,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: As bad as Qaddafi was---what comes next in Libya will be worse---just watch.",FALSE,0,NA,2016-11-18 19:23:41,FALSE,NA,"799694585047879681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jaafarMK000",4236,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:41,FALSE,NA,"799694584288710656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JBaker31826004",5724,TRUE,FALSE,NA,NA
"Can we please start referring to @realDonaldTrump ""President Elect Swamp Monster"" per @SenWarren?",FALSE,0,NA,2016-11-18 19:23:41,FALSE,NA,"799694583659634688",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FatGirlvsWorld",0,FALSE,FALSE,NA,NA
"RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…",FALSE,0,NA,2016-11-18 19:23:40,FALSE,NA,"799694582569021440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LizzyMischel",24202,TRUE,FALSE,NA,NA
"RT @IngrahamAngle: @realDonaldTrump selected @SenatorSessions of AL to be AG. Here are his best moments from over the years. https://t.co/K…",FALSE,0,NA,2016-11-18 19:23:40,FALSE,NA,"799694580862042117",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CashBama",269,TRUE,FALSE,NA,NA
"RT @Cliff_Sims: .@tedcruz on @realDonaldTrump nominating @SenatorSessions for AG: ""GREAT news for all of us who revere the Constitution and…",FALSE,0,NA,2016-11-18 19:23:39,FALSE,NA,"799694578697678848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jnsgaw",189,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:39,FALSE,NA,"799694575497449472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","complextalk",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…",FALSE,0,NA,2016-11-18 19:23:38,FALSE,NA,"799694575224823808",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","americansr4DT",24202,TRUE,FALSE,NA,NA
"@Salon stop worrying about @realDonaldTrump coalition and why liberals didn't foresee Obama coalition's collapse and where Dems go from here",FALSE,0,"Salon",2016-11-18 19:23:38,FALSE,"799688407777681408","799694571194105856","16955991","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CasperAcosta",0,FALSE,FALSE,NA,NA
"RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…",FALSE,0,NA,2016-11-18 19:23:37,FALSE,NA,"799694570896424960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BusqueCarlos",24202,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:37,FALSE,NA,"799694569939963904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","millpug",5724,TRUE,FALSE,NA,NA
"Please @realDonaldTrump No business with stone age Turks -Turkish bill clears men of statutory rape if they marry- https://t.co/sLeh51je5C",FALSE,0,NA,2016-11-18 19:23:37,FALSE,NA,"799694569143037952",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","StayWithWilders",0,FALSE,FALSE,NA,NA
"RT @realDonaldTrump: All I can say is that if I were President, Snowden would have already been returned to the U.S. (by their fastest jet)…",FALSE,0,NA,2016-11-18 19:23:37,FALSE,NA,"799694568937627649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SMBarrera",4710,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:37,FALSE,NA,"799694567150862337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SandraHalifax",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I have never seen a thin person drinking  Diet Coke.",FALSE,0,NA,2016-11-18 19:23:35,FALSE,NA,"799694561505406976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thaminaaaaa",77956,TRUE,FALSE,NA,NA
"RT @ericbolling: .@realDonaldTrump takes office with (R) House, (R) Senate and 62% (R) Governors.. It's a red country, what that means toni…",FALSE,0,NA,2016-11-18 19:23:35,FALSE,NA,"799694560737787904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jmerrick82yaho1",302,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: It's freezing outside, where the hell is ""global warming""??",FALSE,0,NA,2016-11-18 19:23:34,FALSE,NA,"799694557814358016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thealiciabs",11474,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…",FALSE,0,NA,2016-11-18 19:23:34,FALSE,NA,"799694557239767040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ashsnoopy1",24202,TRUE,FALSE,NA,NA
"RT @SenSanders: .@realDonaldTrump on Aug. 8: ""We can’t fix a rigged system by relying on the people who rigged it in the first place."" #Dra…",FALSE,0,NA,2016-11-18 19:23:32,FALSE,NA,"799694547705995264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sbrunarski59",2611,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:31,FALSE,NA,"799694544757542912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BusqueCarlos",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:31,FALSE,NA,"799694544711413760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AamerMassay",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:29,FALSE,NA,"799694534372421632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","julibleu",42570,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…",FALSE,0,NA,2016-11-18 19:23:28,FALSE,NA,"799694531474182144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UserGname2016",24202,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: My transition team, which is working long hours and doing a fantastic job, will be seeing many great candidates today.…",FALSE,0,NA,2016-11-18 19:23:28,FALSE,NA,"799694530043752448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElizabethWojcie",20265,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:28,FALSE,NA,"799694529674608641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sonMHGJC",5724,TRUE,FALSE,NA,NA
"RT @Cliff_Sims: .@tedcruz on @realDonaldTrump nominating @SenatorSessions for AG: ""GREAT news for all of us who revere the Constitution and…",FALSE,0,NA,2016-11-18 19:23:27,FALSE,NA,"799694527711891456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","darcy027027",188,TRUE,FALSE,NA,NA
"NOW: Students from Northwestern HS protesting @realDonaldTrump in #Hyattsville. #pgcpswalkout https://t.co/zAHOdQ5vec",FALSE,0,NA,2016-11-18 19:23:27,FALSE,NA,"799694526759714816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HvilleTimes",0,FALSE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:25,FALSE,NA,"799694518056534016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbhishekDubeyMP",5724,TRUE,FALSE,NA,NA
"RT @Cliff_Sims: .@tedcruz on @realDonaldTrump nominating @SenatorSessions for AG: ""GREAT news for all of us who revere the Constitution and…",FALSE,0,NA,2016-11-18 19:23:25,FALSE,NA,"799694517603446784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cryogenik28",188,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:24,FALSE,NA,"799694514357026816",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","americansr4DT",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:23,FALSE,NA,"799694511517683712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deehill3",5724,TRUE,FALSE,NA,NA
"RT @civilrightsorg: At least 11 members of @realDonaldTrump's transition team have openly held anti-Muslim positions. That's not okay. http…",FALSE,0,NA,2016-11-18 19:23:23,FALSE,NA,"799694510573944832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PurpleTribeTen",38,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I have never seen a thin person drinking  Diet Coke.",FALSE,0,NA,2016-11-18 19:23:22,FALSE,NA,"799694507981742080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kalanijj8",77956,TRUE,FALSE,NA,NA
"@KeithOlbermann @realDonaldTrump body by eggplant Donald Trump should focus on getting to the gym",FALSE,0,"KeithOlbermann",2016-11-18 19:23:22,FALSE,"799691383955144704","799694507050762240","130617778","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","montetjwitter11",0,FALSE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:21,FALSE,NA,"799694501392564224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElizabethWojcie",42566,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:20,FALSE,NA,"799694495809998849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UserGname2016",42566,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:19,FALSE,NA,"799694495319064576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marcielmarciano",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant i…",FALSE,0,NA,2016-11-18 19:23:19,FALSE,NA,"799694491439550464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JimmyForTrump2",42566,TRUE,FALSE,NA,NA
"@realDonaldTrump Of course they did. That's what adults do",FALSE,0,"realDonaldTrump",2016-11-18 19:23:18,FALSE,"797822192931262470","799694487366856704","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jbwpost",0,FALSE,FALSE,NA,NA
"@SpecialReport @realDonaldTrump one for the good guys",FALSE,0,"SpecialReport",2016-11-18 19:23:17,FALSE,"799642475371470848","799694485915652097","122207745","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","russ8979",0,FALSE,FALSE,NA,NA
"RT @NikkiSchwab: Transition team confirms @RealDonaldTrump is meeting with Michelle Rhee on Saturday.",FALSE,0,NA,2016-11-18 19:23:17,FALSE,NA,"799694483566772224",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RightWisconsin",3,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Tonight at 10 PM ET, 7 PM PT, on @FoxNews, a one hour special on me and my life by @HarveyLevinTMZ. Enjoy!",FALSE,0,NA,2016-11-18 19:23:14,FALSE,NA,"799694473878007808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimbenner11",5724,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I have never seen a thin person drinking  Diet Coke.",FALSE,0,NA,2016-11-18 19:23:14,FALSE,NA,"799694472305082368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aringelestein",77956,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their…",FALSE,0,NA,2016-11-18 19:23:14,FALSE,NA,"799694470551699456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElizabethWojcie",24197,TRUE,FALSE,NA,NA
