"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","address","city","zipcode","state","tweet","text","score"
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",FALSE,0,"realDonaldTrump",2016-11-18 17:52:37,FALSE,"799660246788612100","799671668230602752","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tmmaddox2_m",0,FALSE,FALSE,"-118.8605695","36.1312581","18790-18998 Campbell Creek Dr Springville CA 93265"," Springville",93265,"CA","@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.","@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",2
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",FALSE,0,"realDonaldTrump",2016-11-18 17:52:37,FALSE,"799660246788612100","799671668230602752","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tmmaddox2_m",0,FALSE,FALSE,"-118.8605695","36.1312581","18790-18998 Campbell Creek Dr Springville CA 93265"," Springville",93265,"CA","@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.","@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",2
"@realDonaldTrump what happened to your tweet about your hard work to not close down the plant? I want to laugh again! #PANTSONFIRE",FALSE,1,"realDonaldTrump",2016-11-18 10:26:41,FALSE,NA,"799559443243470848","25073877","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","SHAUNALUVSDDNT",1,FALSE,FALSE,"-80.66751435","28.12634123","1196 Holland St Melbourne FL 32935"," Melbourne",32935,"FL","@realDonaldTrump what happened to your tweet about your hard work to not close down the plant? I want to laugh again! #PANTSONFIRE","@realDonaldTrump what happened to your tweet about your hard work to not close down the plant? I want to laugh again! #PANTSONFIRE",-3
"LAWD<U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F> @realdonaldtrump got everybody going crazy <ed><U+00A0><U+00BD><ed><U+00B8><U+009C> Who's Granny is this <U+2753><U+203C><U+FE0F>#younameit… https://t.co/cbQ96pBJCH",FALSE,3,NA,2016-11-18 15:09:47,FALSE,NA,"799630688588861440",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","rudyrush",0,FALSE,FALSE,"-95.454844","29.7461476","2021 Westcreek Ln Houston TX 77027"," Houston",77027,"TX","LAWD<U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F> @realdonaldtrump got everybody going crazy <ed><U+00A0><U+00BD><ed><U+00B8><U+009C> Who's Granny is this <U+2753><U+203C><U+FE0F>#younameit… https://t.co/cbQ96pBJCH","LAWD<U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F> @realdonaldtrump got everybody going crazy <ed><U+00A0><U+00BD><ed><U+00B8><U+009C> Who's Granny is this <U+2753><U+203C><U+FE0F>#younameit… https://t.co/cbQ96pBJCH",0
"@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!",FALSE,0,"realDonaldTrump",2016-11-18 16:53:48,FALSE,NA,"799656868289200128","25073877","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","hakarune",0,FALSE,FALSE,"-122.54","45.62","101 204 SE Park Plaza Dr Vancouver"," 204 SE Park Plaza Dr",NA,"Va","@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!","@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!",1
"Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP",FALSE,0,NA,2016-11-18 16:48:38,FALSE,NA,"799655565152555008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheSimonRyan",0,FALSE,FALSE,"-122.684906","45.520102","1221 SW Yamhill St Portland OR 97205"," Portland",97205,"OR","Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP","Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP",1
"For I AM , thus I ride 217 on 11-17 - do you understand ? @realdonaldtrump @cnbc @bbcafrica… https://t.co/YOA4Sv6LVx",FALSE,0,NA,2016-11-17 23:40:05,FALSE,NA,"799396721444929537",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","HARJGTHEONE",0,FALSE,FALSE,"-123.11633069","49.20970359","8430 Cambie St Vancouver BC V6P 3J9"," Vancouver",NA,"BC","For I AM , thus I ride 217 on 11-17 - do you understand ? @realdonaldtrump @cnbc @bbcafrica… https://t.co/YOA4Sv6LVx","For I AM , thus I ride 217 on 11-17 - do you understand ? @realdonaldtrump @cnbc @bbcafrica… https://t.co/YOA4Sv6LVx",0
"@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",FALSE,0,"realDonaldTrump",2016-11-18 17:52:37,FALSE,"799660246788612100","799671668230602752","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tmmaddox2_m",0,FALSE,FALSE,"-118.8605695","36.1312581","18790-18998 Campbell Creek Dr Springville CA 93265"," Springville",93265,"CA","@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.","@realDonaldTrump @FoxNews @HarveyLevinTMZ First time in 12 years I'm proud to call a man,""YOU"" my president.",2
"How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",FALSE,0,NA,2016-11-18 18:59:23,FALSE,NA,"799688471396892672",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","BillBarrowAP",1,FALSE,FALSE,"-84.349563","33.76014","Moreland Avenue Southbound Ramp Atlanta GA 30307"," Atlanta",30307,"GA","How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.","How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",0
"Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",FALSE,0,NA,2016-11-18 18:57:25,FALSE,NA,"799687974250283008",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","BillBarrowAP",2,FALSE,FALSE,"-84.349563","33.76014","Moreland Avenue Southbound Ramp Atlanta GA 30307"," Atlanta",30307,"GA","Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.","Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",1
